/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
6.995273e-001	1.576745e+002
7.004240e-001	1.578744e+002
7.013208e-001	1.580742e+002
7.022177e-001	1.582741e+002
7.031147e-001	1.584739e+002
7.040117e-001	1.586737e+002
7.049089e-001	1.588736e+002
7.058061e-001	1.590734e+002
7.067035e-001	1.592733e+002
7.076009e-001	1.594731e+002
7.084984e-001	1.596729e+002
7.093960e-001	1.598728e+002
7.102937e-001	1.600726e+002
7.111916e-001	1.602725e+002
7.120895e-001	1.604723e+002
7.129875e-001	1.606721e+002
7.138856e-001	1.608720e+002
7.147838e-001	1.610718e+002
7.156821e-001	1.612717e+002
7.165805e-001	1.614715e+002
7.174790e-001	1.616713e+002
7.183777e-001	1.618712e+002
7.192764e-001	1.620710e+002
7.201752e-001	1.622709e+002
7.210742e-001	1.624707e+002
7.219732e-001	1.626705e+002
7.228724e-001	1.628704e+002
7.237717e-001	1.630702e+002
7.246711e-001	1.632701e+002
7.255706e-001	1.634699e+002
7.264702e-001	1.636697e+002
7.273699e-001	1.638696e+002
7.282698e-001	1.640694e+002
7.291697e-001	1.642693e+002
7.300698e-001	1.644691e+002
7.309700e-001	1.646689e+002
7.318703e-001	1.648688e+002
7.327708e-001	1.650686e+002
7.336714e-001	1.652685e+002
7.345720e-001	1.654683e+002
7.354729e-001	1.656681e+002
7.363738e-001	1.658680e+002
7.372749e-001	1.660678e+002
7.381761e-001	1.662677e+002
7.390775e-001	1.664675e+002
7.399789e-001	1.666673e+002
7.408805e-001	1.668672e+002
7.417823e-001	1.670670e+002
7.426842e-001	1.672669e+002
7.435862e-001	1.674667e+002
7.444884e-001	1.676665e+002
7.453907e-001	1.678664e+002
7.462931e-001	1.680662e+002
7.471957e-001	1.682661e+002
7.480984e-001	1.684659e+002
7.490013e-001	1.686657e+002
7.499044e-001	1.688656e+002
7.508076e-001	1.690654e+002
7.517109e-001	1.692653e+002
7.526144e-001	1.694651e+002
7.535180e-001	1.696649e+002
7.544219e-001	1.698648e+002
7.553258e-001	1.700646e+002
7.562300e-001	1.702645e+002
7.571342e-001	1.704643e+002
7.580387e-001	1.706641e+002
7.589433e-001	1.708640e+002
7.598481e-001	1.710638e+002
7.607531e-001	1.712637e+002
7.616582e-001	1.714635e+002
7.625635e-001	1.716633e+002
7.634690e-001	1.718632e+002
7.643747e-001	1.720630e+002
